"reg_id","source","destination","mac","vehicle_no","session_id","device_id","title","genre","type","view_model","view_duration","model","view_android_id","interface","version","view_datetime","sync_date","user_agent"
"f00912fe61b386e11c9d4c03f556939fa26ab4b552c69aba283ded5239b0ec9c","source","destination","bc:41:01:5d:96:39","183","e4a44ea1fb5ed515_1600155760077","e4a44ea1fb5ed515","The Crossy Road",,"zip","",14,"MICROMAX_HS3",,"AN","0.2","2020-09-15 13:14:50.139","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3 Build/N2G47H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36"
"41177d760998cab2e78c1bf79b7e19ca5669f50b1614883edf79fde17e295ef3","source","destination","bc:41:01:81:2a:29","182","827d762c2f562652_1600155709672","827d762c2f562652","The Millionaire Frog",,"zip","",40,"MICROMAX_HS3",,"AN","0.2","2020-09-15 13:13:17.467","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
"3ecf9ab4d8695373b08680ded0d55006e98fb6db3c66bf2ab72f0aae7150a7b1","source","destination","bc:41:01:81:2a:29","100","8912e5874efe3271_1600155264912","8912e5874efe3271","Quick Gun",,"zip","",29,"XIAOMIREDMINOTE5PRO",,"AN","0.2","2020-09-15 13:10:54.685","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
"3ecf9ab4d8695373b08680ded0d55006e98fb6db3c66bf2ab72f0aae7150a7b1","source","destination","bc:41:01:81:2a:29","100","8912e5874efe3271_1600155264912","8912e5874efe3271","Jump",,"zip","",13,"XIAOMIREDMINOTE5PRO",,"AN","0.2","2020-09-15 13:10:19.149","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
"45ac4b6e5ff91b2c777e5f49c23c7336386c69cab3b8375754b574187afcc4b2","source","destination","bc:41:01:81:2a:29","98","2bf15f64495dc40e_1600155060317","2bf15f64495dc40e","Connect Puzzle",,"zip","",38,"XIAOMIREDMINOTE5PRO",,"AN","0.2","2020-09-15 13:03:45.373","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
"45ac4b6e5ff91b2c777e5f49c23c7336386c69cab3b8375754b574187afcc4b2","source","destination","bc:41:01:81:2a:29","98","2bf15f64495dc40e_1600155060317","2bf15f64495dc40e","Rock Climb",,"zip","",40,"XIAOMIREDMINOTE5PRO",,"AN","0.2","2020-09-15 13:02:54.075","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
"dd1efa727c989d07323492f8aab318c95e011f286200cad90ec310dac86835a1","source","destination","bc:41:01:5d:96:39","177","811663cf5f54626c_1600154643238","811663cf5f54626c","Rock Climb",,"zip","",8,"MICROMAX_HS3",,"AN","0.2","2020-09-15 12:54:48.300","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3 Build/N2G47H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36"
"941608e8d6f41eedda85ffa721d86d1452e73c3a53339a31ae7b8cd57cbb6b54","source","destination","bc:41:01:81:2a:29","214","c72b7bc8ae68c2a3_1600154443756","c72b7bc8ae68c2a3","The Crossy Road",,"zip","",202,"XIAOMIREDMINOTE5PRO",,"AN","0.2","2020-09-15 12:54:43.035","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
"dd1efa727c989d07323492f8aab318c95e011f286200cad90ec310dac86835a1","source","destination","bc:41:01:5d:96:39","177","811663cf5f54626c_1600154643238","811663cf5f54626c","The Crossy Road",,"zip","",1,"MICROMAX_HS3",,"AN","0.2","2020-09-15 12:54:31.041","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3 Build/N2G47H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36"
"51e01668ff5c4fe6a49cd53317796e36b689316bf337f6f5f656fe0618ccdb6c","source","destination","bc:41:01:81:2a:29","162","1440abebf42275d9_1600154097738","1440abebf42275d9","Quick Gun",,"zip","",41,"MICROMAX_HS3",,"AN","0.2","2020-09-15 12:46:34.729","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
"b5db30534de30297380094f3757476ac6c820140af42b978ff17933594bd617c","source","destination","bc:41:01:81:2a:29","213","d72b4a039efdd0a4_1600153890221","d72b4a039efdd0a4","Quick Gun",,"zip","",26,"XIAOMIREDMINOTE5PRO",,"AN","0.2","2020-09-15 12:44:49.719","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
"b5db30534de30297380094f3757476ac6c820140af42b978ff17933594bd617c","source","destination","bc:41:01:81:2a:29","213","d72b4a039efdd0a4_1600153890221","d72b4a039efdd0a4","Bomb the Boxes",,"zip","",54,"XIAOMIREDMINOTE5PRO",,"AN","0.2","2020-09-15 12:44:14.766","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
"ee8dc0eb49dc404f7a0f0bb65a17c95fee1a884f50b49db6ed19200dbf91abad","source","destination","bc:41:01:81:2a:29","97","1c8af1bd3162c6ff_1600153384204","1c8af1bd3162c6ff","Car Racing Pro",,"zip","",42,"XIAOMIREDMINOTE5PRO",,"AN","0.2","2020-09-15 12:37:58.659","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
"ee8dc0eb49dc404f7a0f0bb65a17c95fee1a884f50b49db6ed19200dbf91abad","source","destination","bc:41:01:81:2a:29","97","1c8af1bd3162c6ff_1600153384204","1c8af1bd3162c6ff","Rock Climb",,"zip","",30,"XIAOMIREDMINOTE5PRO",,"AN","0.2","2020-09-15 12:37:01.231","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/85.0.4183.81 Mobile Safari/537.36"
"f91ff87a36c64f874edd9598825cd23c876d9bf0a85fd90143f909bb90a65051","source","destination","bc:41:01:5d:96:39","176","a99fab5457cc0189_1600153044922","a99fab5457cc0189","The Crossy Road",,"zip","",55,"MICROMAX_HS3",,"AN","0.2","2020-09-15 12:28:53.279","2020-09-15","Mozilla/5.0 (Linux; Android 7.1.2; Micromax_HS3 Build/N2G47H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.125 Mobile Safari/537.36"
